SampleID	host_common_name
Dromaius-novaehollandiae_S_S_Temp_D705-AK1544_filtered_r1r2combined	emu
Helogale-parvula_S_S_Temp_D704-AK1544_filtered_r1r2combined	dwarf mongoose
Eudromia-elegans_S_S_Temp_D706-AK1544_filtered_r1r2combined	tinamou
Geospiza-septentrionalis_S_S_Temp_D710-AK1546_filtered_r1r2combined	vampire finch
Geospiza-septentrionalis_S_S_Temp_D711-AK1780_filtered_r1r2combined	vampire finch
Geospiza-septentrionalis_S_S_Temp_D711-AK1680_filtered_r1r2combined	vampire finch
Geospiza-septentrionalis_S_S_Temp_D703-AK1681_filtered_r1r2combined	vampire finch
Geospiza-septentrionalis_S_S_Temp_D710-AK1544_filtered_r1r2combined	vampire finch
Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2combined	Genovesa ground finch
Geospiza-septentrionalis_S_S_Temp_D710-AK1543_filtered_r1r2combined	vampire finch
Geospiza-difficilis_S_S_Temp_D712-AK1682_filtered_r1r2combined	sharpbeaked ground finch
Geospiza-septentrionalis_S_S_Temp_D711-AK1546_filtered_r1r2combined	vampire finch
Geospiza-septentrionalis_S_S_Temp_D712-AK1681_filtered_r1r2combined	vampire finch
Geospiza-septentrionalis_S_S_Temp_D711-AK1681_filtered_r1r2combined	vampire finch
Geospiza-septentrionalis_S_S_Temp_D710-AK1780_filtered_r1r2combined	vampire finch
Geospiza-acutirostris_S_S_Temp_D712-AK1680_filtered_r1r2combined	Genovesa ground finch
Geospiza-difficilis_S_S_Temp_D712-AK1543_filtered_r1r2combined	sharpbeaked ground finch
Desmodus-rotundus_S_S_Temp_D707-AK1546_filtered_r1r2combined	common vampire bat
Desmodus-rotundus_S_S_Temp_D708-AK1543_filtered_r1r2combined	common vampire bat
Desmodus-rotundus_S_S_Temp_D708-AK1544_filtered_r1r2combined	common vampire bat
Desmodus-rotundus_S_S_Temp_D707-AK1544_filtered_r1r2combined	common vampire bat
Desmodus-rotundus_S_S_Temp_D708-AK1680_filtered_r1r2combined	common vampire bat
Desmodus-rotundus_S_S_Temp_D708-AK1682_filtered_r1r2combined	common vampire bat
Desmodus-rotundus_S_S_Temp_D709-AK1680_filtered_r1r2combined	common vampire bat
Desmodus-rotundus_S_S_Temp_D708-AK1780_filtered_r1r2combined	common vampire bat
Glossophaga-morenoi_S_S_Temp_D708-AK1546_filtered_r1r2combined	western longtongued bat
Balantiopteryx-plicata_S_S_Temp_D708-AK1545_filtered_r1r2combined	gray sacwinged bat
Aptenodytes-patagonicus_S_S_Temp_D711-AK1545_filtered_r1r2combined	King penguin
Aptenodytes-patagonicus_S_S_Temp_D710-AK1680_filtered_r1r2combined	King penguin
Tachyeres-pteneres_S_S_Temp_D710-AK1681_filtered_r1r2combined	Fuegian steamer duck
Rhea-pennata_S_S_Temp_D709-AK1543_filtered_r1r2combined	Darwins rhea
Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2combined	Bronzewinged duck
Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2combined	Sebas short-tailed bat
Artibeus-intermedius_S_S_Temp_D709-AK1780_filtered_r1r2combined	great fruit-eating bat
Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2combined	Sebas short-tailed bat
Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2combined	Sowells short-tailed bat
Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2combined	Sebas short-tailed bat
Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2combined	Sebas short-tailed bat
Alouatta-caraya_AC622_ATCACG_L001_001_filtered_r1r2combined	black howler monkey
Alouatta-caraya_AC660_CGATGT_L001_001_filtered_r1r2combined	black howler monkey
Alouatta-caraya_AC665_TTAGGC_L001_001_filtered_r1r2combined	black howler monkey
Alouatta-caraya_AC667_TGACCA_L001_001_filtered_r1r2combined	black howler monkey
Alouatta-caraya_AC668_ACAGTG_L001_001_filtered_r1r2combined	black howler monkey
Alouatta-palliata_Ahyb1000_CAGATC_L002_001_filtered_r1r2combined	brown spider monkey
Alouatta-palliata_Ahyb135_ACTTGA_L002_001_filtered_r1r2combined	brown spider monkey
Alouatta-palliata_Ahyb257_GATCAG_L002_001_filtered_r1r2combined	brown spider monkey
Alouatta-palliata_Ahyb401_TAGCTT_L002_001_filtered_r1r2combined	brown spider monkey
Alouatta-pigra_Ahyb411_GGCTAC_L002_001_filtered_r1r2combined	brown spider monkey
Alouatta-pigra_APAL36_GCCAAT_L001_001_filtered_r1r2combined	mantled howler monkeys
Alouatta-pigra_APAL37_CAGATC_L001_001_filtered_r1r2combined	mantled howler monkeys
Alouatta-pigra_APAL38_ACTTGA_L001_001_filtered_r1r2combined	mantled howler monkeys
Alouatta-pigra_APAL39_GATCAG_L001_001_filtered_r1r2combined	mantled howler monkeys
Alouatta-pigra_Apalw13_TAGCTT_L001_001_filtered_r1r2combined	mantled howler monkeys
Alouatta-pigra_Apalw14_GGCTAC_L001_001_filtered_r1r2combined	mantled howler monkeys
Alouatta-pigra_APF103_CTTGTA_L001_001_filtered_r1r2combined	howler monkey
Ateles-hybridus_APF104_AGTCAA_L001_001_filtered_r1r2combined	howler monkey
Ateles-hybridus_APF105_AGTTCC_L001_001_filtered_r1r2combined	howler monkey
Ateles-hybridus_APF106_ATGTCA_L001_001_filtered_r1r2combined	howler monkey
Ateles-hybridus_APF36_CCGTCC_L001_001_filtered_r1r2combined	howler monkey
Ateles-hybridus_APF37_GTCCGC_L001_001_filtered_r1r2combined	howler monkey
Alouatta-palliata_APF38_GTGAAA_L001_001_filtered_r1r2combined	howler monkey
Alouatta-palliata_APF39_GTGGCC_L001_001_filtered_r1r2combined	howler monkey
