SampleID	SubjectID	SubjectID2	SubjectID3	captive_wild	Primary_dietary_category_jeff	bloodfeeder	flight_status	flight_type	Corrected_species_name	CorrectedSpeciesName2	Taxonomy_Class	Taxonomy_Family	Taxonomy_Genus	Taxonomy_Kingdom	Taxonomy_Order	Taxonomy_Phylum
Sarcoramphus-papa_S_S_Temp_D705-AK1780_filtered_r1r2combined	Sarcoramphus_papa_2	Sarcoramphus~papa~2	Sarcoramphus-papa-2	captive	Carnivore	no	flighted	strong	Sarcoramphus_papa	SarcoramphusPapa	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Chordata
Song53_24450_host_filtered_r1r2combined	Sarcoramphus_papa_3	Sarcoramphus~papa~3	Sarcoramphus-papa-3	captive	Carnivore	no	flighted	strong	Sarcoramphus_papa	SarcoramphusPapa	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Chordata
Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2combined	Speculanas_specularis	Speculanas~specularis	Speculanas-specularis	captive	Omnivore	no	flighted	strong	Speculanas_specularis	SpeculanasSpecularis	Aves	Anatidae	Speculanas	Metazoa	Anseriformes	Chordata
Song53_24049_host_filtered_r1r2combined	Struthio_camelus	Struthio~camelus	Struthio-camelus	captive	Herbivore	no	flightless	flightless	Struthio_camelus	StruthioCamelus	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes	Chordata
Struthio-camelus_S_S_Temp_D703-AK1543_filtered_r1r2combined	Struthio_camelus_1	Struthio~camelus~1	Struthio-camelus-1	captive	Herbivore	no	flightless	flightless	Struthio_camelus	StruthioCamelus	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes	Chordata
Struthio-camelus_S_S_Temp_D709-AK1544_filtered_r1r2combined	Struthio_camelus_2	Struthio~camelus~2	Struthio-camelus-2	captive	Herbivore	no	flightless	flightless	Struthio_camelus	StruthioCamelus	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes	Chordata
Suricata-suricatta_S_S_Temp_D701-AK1681_filtered_r1r2combined	Suricata_suricatta_1	Suricata~suricatta~1	Suricata-suricatta-1	captive	Carnivore	no	flightless	flightless	Suricata_suricatta	SuricataSuricatta	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora	Chordata
Suricata-suricatta_S_S_Temp_D704-AK1545_filtered_r1r2combined	Suricata_suricatta_2	Suricata~suricatta~2	Suricata-suricatta-2	captive	Carnivore	no	flightless	flightless	Suricata_suricatta	SuricataSuricatta	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora	Chordata
Suricata-suricatta_S_S_Temp_D705-AK1681_filtered_r1r2combined	Suricata_suricatta_3	Suricata~suricatta~3	Suricata-suricatta-3	captive	Carnivore	no	flightless	flightless	Suricata_suricatta	SuricataSuricatta	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora	Chordata
Tachyeres-pteneres_S_S_Temp_D710-AK1681_filtered_r1r2combined	Tachyeres_pteneres	Tachyeres~pteneres	Tachyeres-pteneres	captive	Carnivore	no	flightless	flightless	Tachyeres_pteneres	TachyeresPteneres	Aves	Anatidae	Tachyeres	Metazoa	Anseriformes	Chordata
Song51_24661_host_filtered_r1r2combined	Tamandua_tetradactyla	Tamandua~tetradactyla	Tamandua-tetradactyla	captive	Carnivore	no	flightless	flightless	Tamandua_tetradactyla	TamanduaTetradactyla	Mammalia	Myrmecophagidae	Tamandua	Metazoa	Pilosa	Chordata
Song51_24740_host_filtered_r1r2combined	Tolypeutes_matacus	Tolypeutes~matacus	Tolypeutes-matacus	captive	Carnivore	no	flightless	flightless	Tolypeutes_matacus	TolypeutesMatacus	Mammalia	Chlamyphoridae	Tolypeutes	Metazoa	Cingulata	Chordata
Torgos-tracheliotus_S_S_Temp_D703-AK1682_filtered_r1r2combined	Torgos_tracheliotus	Torgos~tracheliotus	Torgos-tracheliotus	captive	Carnivore	no	flighted	strong	Torgos_tracheliotus	TorgosTracheliotus	Aves	Accipitridae	Torgos	Metazoa	Falconiformes	Chordata
Song52_25162_host_filtered_r1r2combined	Trachycephalus_resinifictrix	Trachycephalus~resinifictrix	Trachycephalus-resinifictrix	captive	Carnivore	no	flightless	flightless	Trachycephalus_resinifictrix	TrachycephalusResinifictrix	Amphibia	Hylidae	Trachycephalus	Metazoa	Anura	Chordata
Song75_ace_host_filtered_r1r2combined	Trichechus_manatus_1	Trichechus~manatus~1	Trichechus-manatus-1	captive	Herbivore	no	flightless	flightless	Trichechus_manatus	TrichechusManatus	Mammalia	Trichechidae	Trichechus	Metazoa	Sirenia	Chordata
Song75_myakka_host_filtered_r1r2combined	Trichechus_manatus_2	Trichechus~manatus~2	Trichechus-manatus-2	captive	Herbivore	no	flightless	flightless	Trichechus_manatus	TrichechusManatus	Mammalia	Trichechidae	Trichechus	Metazoa	Sirenia	Chordata
Song52_25073_host_filtered_r1r2combined	Uroplatus_lineatus	Uroplatus~lineatus	Uroplatus-lineatus	captive	Carnivore	no	flightless	flightless	Uroplatus_lineatus	UroplatusLineatus	Lepidosauria	Gekkonidae	Uroplatus	Metazoa	Squamata	Chordata
Song52_24048_host_filtered_r1r2combined	Varanus_albigularis	Varanus~albigularis	Varanus-albigularis	captive	Carnivore	no	flightless	flightless	Varanus_albigularis	VaranusAlbigularis	Lepidosauria	Varanidae	Varanus	Metazoa	Squamata	Chordata
