SampleID	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild
Pteromys-volans_S_S_Temp_D703-AK1546_filtered_r1r2combined	11166.AR.M28.flyingsquirrel	11166	Pteromys-volans_S_S_Temp_D703-AK1546_filtered_r1r2combined.fastq.gz	11104048	10868686	7.036177042	7	siberian_flying_squirrel.2	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys_volans	Sciurus_vulgaris	Pteromys_volans	Siberian_flying_squirrel	flightless	NA	NA	Finland	NA	NA	herbivore	herbivore	wild
Pteromys-volans_S_S_Temp_D703-AK1544_filtered_r1r2combined	11166.AR.M43.flyingsquirrel	11166	Pteromys-volans_S_S_Temp_D703-AK1544_filtered_r1r2combined.fastq.gz	108681610	107981904	8.033350981	8	siberian_flying_squirrel.3	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys_volans	Sciurus_vulgaris	Pteromys_volans	Siberian_flying_squirrel	flightless	NA	NA	Finland	NA	NA	herbivore	herbivore	wild
Pteromys-volans_S_S_Temp_D708-AK1681_filtered_r1r2combined	11166.AR.M47.flyingsquirrel	11166	Pteromys-volans_S_S_Temp_D708-AK1681_filtered_r1r2combined.fastq.gz	44096550	43292438	7.636412044	8	siberian_flying_squirrel.4	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys_volans	Sciurus_vulgaris	Pteromys_volans	Siberian_flying_squirrel	flightless	NA	NA	Finland	NA	NA	herbivore	herbivore	wild
Pteromys-volans_S_S_Temp_D703-AK1545_filtered_r1r2combined	11166.AR.M82.flyingsquirrel	11166	Pteromys-volans_S_S_Temp_D703-AK1545_filtered_r1r2combined.fastq.gz	34978506	34739330	7.540821438	8	siberian_flying_squirrel.5	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys_volans	Sciurus_vulgaris	Pteromys_volans	Siberian_flying_squirrel	flightless	NA	NA	Finland	NA	NA	herbivore	herbivore	wild
Crocuta-crocuta_S_S_Temp_D704-AK1681_filtered_r1r2combined	11166.FD.0437.hyena	11166	Crocuta-crocuta_S_S_Temp_D704-AK1681_filtered_r1r2combined.fastq.gz	11172024	5249378	6.720107847	7	spotted_hyena.1	Chordata	Mammalia	Hyaenidae	Crocuta	Metazoa	Carnivora	Crocuta_crocuta	Crocuta_crocuta	Crocuta_crocuta	Spotted_hyena	flightless	NA	NA	France	NA	NA	carnivore	carnivore	captive
Hyaena-hyaena_S_S_Temp_D701-AK1680_filtered_r1r2combined	11166.FD.0122.hyena	11166	Hyaena-hyaena_S_S_Temp_D701-AK1680_filtered_r1r2combined.fastq.gz	3307162	2716772	6.434053193	6	striped_desert_hamster.1	Chordata	Mammalia	Hyaenidae	Hyaena	Metazoa	Carnivora	Hyaena_hyaena	Hyaena_hyaena	Hyaena_hyaena	Striped_hyena	flightless	NA	NA	France	NA	NA	carnivore_scavenger	carnivore	captive
Eudromia-elegans_S_S_Temp_D706-AK1544_filtered_r1r2combined	11166.NATL.25082.tinamou	11166	Eudromia-elegans_S_S_Temp_D706-AK1544_filtered_r1r2combined.fastq.gz	52067270	51754556	7.713948587	8	tinamou.1	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia_elegans	Eudromia_elegans	Eudromia_elegans	tinamou	flighted	NA	NA	USA	NA	NA	omnivore	omnivore	captive
Geospiza-septentrionalis_S_S_Temp_D710-AK1546_filtered_r1r2combined	11166.UM.24872.vfinch	11166	Geospiza-septentrionalis_S_S_Temp_D710-AK1546_filtered_r1r2combined.fastq.gz	3406552	3175442	6.501804185	7	vampire_finch.1	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_difficilis	Geospiza_fortis	Geospiza_difficilis	vampire_finch	flighted	NA	NA	Ecuador	NA	NA	sanguivore	carnivore	wild
Geospiza-septentrionalis_S_S_Temp_D711-AK1780_filtered_r1r2combined	11166.UM.24875.vfinch	11166	Geospiza-septentrionalis_S_S_Temp_D711-AK1780_filtered_r1r2combined.fastq.gz	3944206	3660554	6.563546818	7	vampire_finch.2	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_difficilis	Geospiza_fortis	Geospiza_difficilis	vampire_finch	flighted	NA	NA	Ecuador	NA	NA	sanguivore	carnivore	wild
Geospiza-septentrionalis_S_S_Temp_D711-AK1680_filtered_r1r2combined	11166.UM.24880.vfinch	11166	Geospiza-septentrionalis_S_S_Temp_D711-AK1680_filtered_r1r2combined.fastq.gz	11017084	10686842	7.028849389	7	vampire_finch.3	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_difficilis	Geospiza_fortis	Geospiza_difficilis	vampire_finch	flighted	NA	NA	Ecuador	NA	NA	sanguivore	carnivore	wild
