SampleID	sample_name_2	studyID	SampleID2	file_filtered_r1r2_combined	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type
Gymnocephalus_cernua	13881.SAMEA6809432	13881	Gymnocephalus-cernua_SAMEA6809619.ebi_filtered_r1r2combined_sampleCombined	Gymnocephalus-cernua_SAMEA6809619.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2698272	ruffe.1	Chordata	Actinopterygii	Percidae	Gymnocephalus	Metazoa	Perciformes	Gymnocephalus cernua	ruffe				Austria		feces
Rusa_unicolor	13881.SAMEA6809395	13881	Rusa-unicolor_SAMEA6809389.ebi_filtered_r1r2combined_sampleCombined	Rusa-unicolor_SAMEA6809389.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7485010	sambar.1	Chordata	Mammalia	Cervidae	Rusa	Metazoa	Artiodactyla	Rusa unicolor	Sambar				Viet Nam		feces
Felis_margarita	13114.song.51.s010	13114	Felis-margarita_Song51_24733_host_filtered_r1r2combined	Felis-margarita_Song51_24733_host_filtered_r1r2combined.fastq.gz	18749122	sand_cat.1	Chordata	Mammalia	Felidae	Felis	Metazoa	Carnivora	Felis margarita	Sand cat	flightless	"terrestrial, flightless"	carnivore			
Lacerta_agilis	13881.SAMEA6809563	13881	Lacerta-agilis_SAMEA6809517.ebi_filtered_r1r2combined_sampleCombined	Lacerta-agilis_SAMEA6809517.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	582296	sand_lizard.1	Chordata	Reptilia	Lacertidae	Lacerta	Metazoa	Squamata	Lacerta agilis	Sand_Lizard				Austria		gut
Petromyzon_marinus	11166.lamprey.24159.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1546_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D702-AK1546_filtered_r1r2combined.fastq.gz	7558816	sea_lamprey.1	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
Petromyzon_marinus	11166.lamprey.24168.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1780_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D701-AK1780_filtered_r1r2combined.fastq.gz	2160580	sea_lamprey.2	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
Petromyzon_marinus	11166.lamprey.24173.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1544_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D701-AK1544_filtered_r1r2combined.fastq.gz	6050832	sea_lamprey.3	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
Petromyzon_marinus	11166.lamprey.24177.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1543_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D702-AK1543_filtered_r1r2combined.fastq.gz	5563566	sea_lamprey.4	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
Petromyzon_marinus	11166.lamprey.24178.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1545_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D702-AK1545_filtered_r1r2combined.fastq.gz	5374230	sea_lamprey.5	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
Petromyzon_marinus	11166.lamprey.24179.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1546_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D701-AK1546_filtered_r1r2combined.fastq.gz	3685728	sea_lamprey.6	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
