SampleID	SampleID2	sample_name2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	
Equus_burchellii	Equus-burchellii_Song51_25122_host_filtered_r1r2interleaved	13114.song.51.s017	13114	Equus-burchellii_Song51_25122_host_filtered_r1r2combined.fastq.gz	4643600	4643292	zebra.1	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus_burchellii	Equus_ferus_przewalskii	Equus_burchellii	Zebra	flightless	terrestrial,flightless	herbivore	USA	NA	NA	herbivore	herbivore	captive	
Loxodonta_africana	Loxodonta-africana_Song51_25124_host_filtered_r1r2interleaved	13114.song.51.s018	13114	Loxodonta-africana_Song51_25124_host_filtered_r1r2combined.fastq.gz	26543420	26541392	southern_african_bush_elephant.1	Chordata	Mammalia	Elephantidae	Loxodonta	Metazoa	Proboscidea	Loxodonta_africana_africana	Loxodonta_africana_africana	Loxodonta_africana	Southern_African_bush_elephant	flightless	terrestrial,flightless	herbivore	USA	NA	NA	herbivore	herbivore	captive	
Choloepus_hoffmanni	Choloepus-hoffmanni_Song51_25173_host_filtered_r1r2interleaved	13114.song.51.s019	13114	Choloepus-hoffmanni_Song51_25173_host_filtered_r1r2combined.fastq.gz	27090222	26896254	hoffmann's_two-toed_sloth.1	Chordata	Mammalia	Choloepodidae	Choloepus	Metazoa	Pilosa	Choloepus_hoffmanni	Choloepus_hoffmanni	Choloepus_hoffmanni	Hoffmann's_two-toed_sloth	flightless	terrestrial,flightless	herbivore	USA	NA	NA	herbivore	herbivore	captive	
Myrmecophaga_tridactyla	Myrmecophaga-tridactyla_Song51_25184_host_filtered_r1r2interleaved	13114.song.51.s020	13114	Myrmecophaga-tridactyla_Song51_25184_host_filtered_r1r2combined.fastq.gz	14373074	14361288	giant_anteater.1	Chordata	Mammalia	Myrmecophagidae	Myrmecophaga	Metazoa	Pilosa	Myrmecophaga_tridactyla	Myrmecophaga_tridactyla	Myrmecophaga_tridactyla	Giant_anteater	flightless	terrestrial,flightless	insectivore	USA	NA	NA	insectivore	carnivore	captive	
Varanus_albigularis	Varanus-albigularis_Song52_24048_host_filtered_r1r2interleaved	13114.song.52.s001	13114	Varanus-albigularis_Song52_24048_host_filtered_r1r2combined.fastq.gz	23832370	23831112	black-throated_monitor.1	Chordata	Reptilia	Varanidae	Varanus	Metazoa	Squamata	Varanus_albigularis	Varanus_komodoensis	Varanus_albigularis	Black-throated_monitor	flightless	terrestrial,flightless	carnivore	USA	NA	NA	carnivore	carnivore	captive	
Aldabrachelys_gigantea	Aldabrachelys-gigantea_Song52_24069_host_filtered.fastq.gzinterleaved	13114.song.52.s002	13114	Aldabrachelys-gigantea_Song52_24069_host_filtered_r1r2combined.fastq.gz	22742996	22735918	aldabra_giant_tortoise.1	Chordata	Reptilia	Testudinidae	Aldabrachelys	Metazoa	Testudines	Aldabrachelys_gigantea	Chelonoidis_abingdonii	Aldabrachelys_gigantea	Aldabra_giant_tortoise	flightless	terrestrial,flightless	herbivore	USA	NA	NA	herbivore	herbivore	captive	
Pseudopus_apodus	Ophisaurus-apodus_Song52_24080_host_filtered_r1r2interleaved	13114.song.52.s003	13114	Ophisaurus-apodus_Song52_24080_host_filtered_r1r2combined.fastq.gz	25754908	25754842	glass_lizard.1	Chordata	Reptilia	Anguidae	Ophisaurus	Metazoa	Squamata	Ophisaurus_apodus	Varanus_komodoensis	Pseudopus_apodus	Glass_lizard	flightless	terrestrial,flightless	omnivore	USA	NA	NA	carnivore	carnivore	captive	
Astrochelys_radiata	Geochelone-radiata_Song52_24663_host_filtered_r1r2interleaved	13114.song.52.s004	13114	Geochelone-radiata_Song52_24663_host_filtered_r1r2combined.fastq.gz	7057180	7055388	radiated_tortoise.1	Chordata	Reptilia	Testudinidae	Geochelone	Metazoa	Testudines	Geochelone_radiata	Chelonoidis_abingdonii	Astrochelys_radiata	Radiated_tortoise	flightless	terrestrial,flightless	herbivore	USA	NA	NA	herbivore	herbivore	captive	
Varanus_acanthurus	Varanus-acanthurus_Song52_25032_host_filtered_r1r2interleaved	13114.song.52.s005	13114	Varanus-acanthurus_Song52_25032_host_filtered_r1r2combined.fastq.gz	21399102	21399078	spiny-tailed_monitor.1	Chordata	Reptilia	Varanidae	Varanus	Metazoa	Squamata	Varanus_acanthurus_acanthurus	Varanus_komodoensis	Varanus_acanthurus	Spiny-tailed_monitor	flightless	terrestrial,flightless	carnivore	USA	NA	NA	carnivore	carnivore	captive	
Pyxis_arachnoides	Pyxis-arachnoides_Song52_25039_host_filtered_r1r2interleaved	13114.song.52.s006	13114	Pyxis-arachnoides_Song52_25039_host_filtered_r1r2combined.fastq.gz	19809230	19726834	spider_tortoise.1	Chordata	Reptilia	Testudinidae	Pyxis	Metazoa	Testudines	Pyxis_arachnoides	Chelonoidis_abingdonii	Pyxis_arachnoides	Spider_tortoise	flightless	terrestrial,flightless	herbivore	USA	NA	NA	omnivore	omnivore	captive	
