SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	species_id	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild
Myodes-glareolus_Mousseau88_FIN_K44_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.74	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K49_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.75	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K74_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.77	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K78_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.78	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K80_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.79	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K81_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.80	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K82_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.81	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K84_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.82	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K85_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.83	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K87_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.84	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K90_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.85	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
