sample_name	studyID	SampleID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	
13881.SAMEA6809389	13881	Rusa-unicolor_SAMEA6809389.ebi_filtered_r1r2combined_sampleCombined	Rusa-unicolor_SAMEA6809389.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7485514	7485010	sambar.1	Chordata	Mammalia	Cervidae	Rusa	Metazoa	Artiodactyla	Rusa unicolor	Przewalskium albirostris	Rusa_unicolor	Sambar		Przewalskium albirostris		herbivore	Viet Nam		feces	herbivore	herbivore	wild	
13881.SAMEA6809517	13881	Lacerta-agilis_SAMEA6809517.ebi_filtered_r1r2combined_sampleCombined	Lacerta-agilis_SAMEA6809517.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5765296	582296	sand_lizard.1	Chordata	Reptilia	Lacertidae	Lacerta	Metazoa	Squamata	Lacerta agilis	Lacerta agilis	Lacerta_agilis	Sand_Lizard		Lacerta agilis		carnivore	Austria		gut	carnivore	carnivore	wild	
13881.SAMEA6809509	13881	Balaenoptera-borealis_SAMEA6809509.ebi_filtered_r1r2combined_sampleCombined	Balaenoptera-borealis_SAMEA6809509.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5380950	2104980	sei_whale.2	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla	Balaenoptera borealis	Balaenoptera acutorostrata scammoni	Balaenoptera_borealis	sei whale		Balaenoptera acutorostrata scammoni		carnivore	United Kingdom		feces	filter_feeder	carnivore	wild	
13881.SAMEA6809430	13881	Ovis-aries_SAMEA6809430.ebi_filtered_r1r2combined_sampleCombined	Ovis-aries_SAMEA6809430.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	12073722	12068618	sheep.1	Chordata	Mammalia	Bovidae	Ovis	Metazoa	Artiodactyla	Ovis aries	Ovis aries	Ovis_aries	sheep		Ovis aries		herbivore	Austria		feces	herbivore	herbivore	captive	
13881.SAMEA6809492	13881	Calamanthus-cautus_SAMEA6809492.ebi_filtered_r1r2combined_sampleCombined	Calamanthus-cautus_SAMEA6809492.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4074768	4074146	shy_hylacola.1	Chordata	Aves	Acanthizidae	Hylacola	Metazoa	Passeriformes	Calamanthus cautus	Origma solitaria	Calamanthus_cautus	Shy Hylacola		Origma solitaria		omnivore	Australia		feces	insectivore	carnivore	wild	
13881.SAMEA6809500	13881	Carassius-gibelio_SAMEA6809500.ebi_filtered_r1r2combined_sampleCombined	Carassius-gibelio_SAMEA6809500.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4661090	4660606	silver_bream.1	Chordata	Actinopterygii	Cyprinidae	Carassius	Metazoa	Cypriniformes	Carassius gibelio	Carassius auratus	Carassius_gibelio	silver crucian carp		Carassius auratus		omnivore	Austria		feces	omnivore	omnivore	wild	
13881.SAMEA6809498	13881	Blicca-bjoerkna_SAMEA6809498.ebi_filtered_r1r2combined_sampleCombined	Blicca-bjoerkna_SAMEA6809498.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2474928	2474186	silver_bream.2	Chordata	Actinopterygii	Leuciscidae	Blicca	Metazoa	Cypriniformes	Blicca bjoerkna	Leuciscus waleckii	Blicca_bjoerkna	Silver_Bream		Leuciscus waleckii		omnivore	Austria		feces	insectivore	carnivore	wild	
13881.SAMEA6809499	13881	Blicca-bjoerkna_SAMEA6809499.ebi_filtered_r1r2combined_sampleCombined	Blicca-bjoerkna_SAMEA6809499.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5666292	5663034	silver_crucian_carp.1	Chordata	Actinopterygii	Leuciscidae	Blicca	Metazoa	Cypriniformes	Blicca bjoerkna	Leuciscus waleckii	Blicca_bjoerkna	Silver_Bream		Leuciscus waleckii		omnivore	Austria		feces	insectivore	carnivore	wild	
13881.SAMEA6809458	13881	Anguis-fragilis_SAMEA6809458.ebi_filtered_r1r2combined_sampleCombined	Anguis-fragilis_SAMEA6809458.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	9168228	9087990	slow_worm.1	Chordata	Reptilia	Anguidae	Anguis	Metazoa	Squamata	Anguis fragilis	Varanus komodoensis	Anguis_fragilis	Slow worm		Varanus komodoensis		carnivore	Austria		gut	carnivore	carnivore	wild	
13881.SAMEA6809600	13881	Turdus-philomelos_SAMEA6809600.ebi_filtered_r1r2combined_sampleCombined	Turdus-philomelos_SAMEA6809600.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1490930	725982	song_thrush.1	Chordata	Aves	Turdidae	Turdus	Metazoa	Passeriformes	Turdus philomelos	Turdus rufiventris	Turdus_philomelos	song thrush		Turdus rufiventris		omnivore	Austria		feces	omnivore	omnivore	wild	
13881.SAMEA6809533	13881	Didelphis-marsupialis_SAMEA6809533.ebi_filtered_r1r2combined_sampleCombined	Didelphis-marsupialis_SAMEA6809533.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	9667188	9666908	southern_opossum.1	Chordata	Mammalia	Didelphidae	Didelphis	Metazoa	Didelphimorphia	Didelphis marsupialis	Streptococcus didelphis	Didelphis_marsupialis	southern opossum		Streptococcus didelphis		omnivore	Costa Rica		gut	omnivore	omnivore	wild	
13881.SAMEA6809544	13881	Choloepus-didactylus_SAMEA6809544.ebi_filtered_r1r2combined_sampleCombined	Choloepus-didactylus_SAMEA6809544.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	11405774	11086930	southern_two-toed_sloth.1	Chordata	Mammalia	Megalonychidae	Choloepus	Metazoa	Pilosa	Choloepus didactylus	Choloepus didactylus	Choloepus_didactylus	southern two-toed sloth		Choloepus didactylus		herbivore	Austria		feces	folivore	herbivore	captive	
13881.SAMEA6809449	13881	Nomascus-siki_SAMEA6809449.ebi_filtered_r1r2combined_sampleCombined	Nomascus-siki_SAMEA6809449.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2454972	2454706	southern_white-cheeked_gibbon.1	Chordata	Mammalia	Hylobatidae	Nomascus	Metazoa	Primates	Nomascus siki	Nomascus leucogenys	Nomascus_siki	southern white-cheeked gibbon		Nomascus leucogenys		herbivore	Viet Nam		feces	"insectivore, frugivore, folivore"	omnivore	wild	
