SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order
Philander_opossum	Chordata	Mammalia	Didelphidae	Philander	Metazoa	Didelphimorphia
Balantiopteryx_plicata	Chordata	Mammalia	Emballonuridae	Balantiopteryx	Metazoa	Chiroptera
Halichoerus_grypus	Chordata	Mammalia	Phocidae	Halichoerus	Metazoa	Carnivora
Phalacrocorax_carbo	Chordata	Aves	Phalacrocoracidae	Phalacrocorax	Metazoa	Pelecaniformes
Artibeus_intermedius	Chordata	Mammalia	Phyllostomidae	Artibeus	Metazoa	Chiroptera
Parus_major	Chordata	Aves	Paridae	Parus	Metazoa	Passeriformes
Dendrocopos_major	Chordata	Aves	Picidae	Dendrocopos	Metazoa	Piciformes
Rhinoceros_unicornis	Chordata	Mammalia	Rhinocerotidae	Rhinoceros	Metazoa	Perissodactyla
Rhea_americana	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes
Eunectes_murinus	Chordata	Reptilia	Boidae	Eunectes	Metazoa	Squamata
Ardea_cinerea	Chordata	Aves	Ardeidae	Ardea	Metazoa	Pelecaniformes
Manis_temminckii	Chordata	Mammalia	Manidae	Smutsia	Metazoa	Pholidota
Papio_hamadryas	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates
Phocoena_phocoena	Chordata	Mammalia	Phocoenidae	Phocoena	Metazoa	Artiodactyla
Phoca_vitulina	Chordata	Mammalia	Phocidae	Phoca	Metazoa	Carnivora
Parabuteo_unicinctus	Chordata	Aves	Accipitridae	Parabuteo	Metazoa	Falconiformes
Trachypithecus_hatinhensis	Chordata	Mammalia	Cercopithecidae	Trachypithecus	Metazoa	Primates
Numida_meleagris	Chordata	Aves	Numididae	Numida	Metazoa	Galliformes
Hippopotamus_amphibius	Chordata	Mammalia	Hippopotamidae	Hippopotamus	Metazoa	Artiodactyla
Choloepus_hoffmanni	Chordata	Mammalia	Megalonychidae	Choloepus	Metazoa	Pilosa
Choloepus_hoffmanni	Chordata	Mammalia	Choloepodidae	Choloepus	Metazoa	Pilosa
Necrosyrtes_monachus	Chordata	Aves	Accipitridae	Necrosyrtes	Metazoa	Falconiformes
Equus_caballus	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla
Chalcites_basalis	Chordata	Aves	Cuculidae	Chalcites	Metazoa	Cuculiformes
Mus_musculus	Chordata	Mammalia	Muridae	Mus	Metazoa	Rodentia
Alouatta_pigra	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates
Alouatta_seniculus	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates
Homo_sapiens	Chordata	Mammalia	Hominidae	Homo	Metazoa	Primates
Megaptera_novaeangliae	Chordata	Mammalia	Balaenopteridae	Megaptera	Metazoa	Artiodactyla
Leuciscus_idus	Chordata	Actinopteri	Leuciscidae	Leuciscus	Metazoa	Cypriniformes
Aepyceros_melampus	Chordata	Mammalia	Bovidae	Aepyceros	Metazoa	Artiodactyla
